Time [min],$40[C] 200[bar]$,$50[C] 200[bar]$,$40[C] 300[bar]$,$50[C] 300[bar]$
0,0,0,0,0
5,1.7,1.8,1.1,1.2
10,5.7,4.7,4.7,4.5
15,10.9,9.5,10.8,11.3
20,17.8,15.1,20.6,20.6
25,24.9,21.3,32.1,30.6
30,30.3,26.9,40.5,37.8
35,34,30.1,46.7,43.3
40,37.5,33.1,50.5,47.5
45,40.1,35.8,53.1,50.8
50,42.8,38.7,55.5,53.7
55,45.2,41.3,57.6,56.5
60,47.6,43.8,59.3,58.1
65,49.6,46.1,60.9,59.6
70,51.2,48.2,62.2,61.1
75,52.9,50.2,63.7,62.7
80,54.4,52.4,64.9,64.4
85,55.8,54.3,66.6,65.8
90,56.7,56.3,67.6,66.7
95,57.7,58,68.9,67.4
100,58.6,59.3,69.7,68.2
105,59.6,60.3,70.6,69.1
110,60.4,61.4,71.2,70.1
115,61.4,62.5,71.9,70.9
120,62.4,63.4,72.3,71.6
125,63.3,64.2,72.8,72.3
130,64,64.7,73.2,72.9
135,64.8,65.3,73.6,73.5
140,65.7,66,74,74
145,66.2,66.6,74.3,74.5
150,66.8,67.2,74.6,74.9
